Mon, Oct 16, 2017	12:25 PM
 x = amu	 y = amps
27.300	828.975
27.360	352.365
27.420	508.055
27.480	2370.340
27.540	8044.747
27.600	10014.706
27.660	11404.737
27.720	11739.642
27.780	12260.754
27.840	12065.911
27.900	11655.212
27.960	10975.073
28.020	11521.670
28.080	10275.612
28.140	10631.749
28.200	9293.568
28.260	8216.625
28.320	3806.821
28.380	738.610
28.440	154.733
28.500	293.089
28.560	564.911
28.620	953.805
28.680	1086.978
28.740	1202.204
28.800	1234.186
28.860	1256.805
28.920	1195.199
28.980	1130.880
29.040	1173.700
29.100	1067.835
29.160	1081.068
29.220	917.188
29.280	810.558
29.340	597.006
29.400	160.872
29.460	173.570
29.520	291.892
29.580	794.740
29.640	987.773
29.700	1121.519
29.760	1164.173
29.820	1182.017
29.880	1177.534
29.940	1061.326
30.000	1069.134
30.060	1077.234
30.120	1048.093
30.180	1037.471
30.240	919.366
30.300	712.692
30.360	323.962
30.420	115.403
30.480	129.299
30.540	233.648
30.600	333.336
30.660	363.662
30.720	376.131
30.780	382.754
30.840	399.795
30.900	378.054
30.960	370.501
31.020	373.533
31.080	346.391
31.140	343.245
31.200	314.448
31.260	319.517
31.320	205.080
31.380	115.518
31.440	124.866
31.500	225.675
31.560	349.970
31.620	384.728
31.680	440.768
31.740	459.555
31.800	462.357
31.860	449.200
31.920	434.910
31.980	448.958
32.040	418.734
32.100	407.335
32.160	388.587
32.220	363.038
32.280	279.232
32.340	146.162
32.400	111.073
32.460	104.641
32.520	107.366
32.580	109.875
32.640	113.378
32.700	111.518
32.760	114.346
32.820	114.779
32.880	113.021
32.940	113.251
33.000	113.938
33.060	111.888
33.120	112.283
33.180	113.060
33.240	110.907
33.300	109.048
33.360	104.424
33.420	103.431
33.480	105.914
33.540	109.162
33.600	113.760
33.660	111.964
33.720	114.270
33.780	114.550
33.840	113.862
33.900	114.066
33.960	112.410
34.020	112.028
34.080	112.053
34.140	112.843
34.200	110.156
34.260	110.742
34.320	107.468
34.380	102.909
34.440	102.628
34.500	104.170
34.560	105.532
34.620	105.736
34.680	106.411
34.740	108.360
34.800	109.799
34.860	107.023
34.920	106.309
34.980	107.099
35.040	107.456
35.100	107.557
35.160	107.201
35.220	106.398
35.280	105.418
35.340	104.068
35.400	104.832
35.460	106.972
35.520	124.446
35.580	147.040
35.640	156.924
35.700	165.534
35.760	173.723
35.820	170.526
35.880	168.056
35.940	173.481
36.000	168.272
36.060	163.840
36.120	163.802
36.180	157.866
36.240	156.555
36.300	146.633
36.360	117.466
36.420	107.379
36.480	113.709
36.540	166.604
36.600	189.122
36.660	221.218
36.720	229.917
36.780	233.164
36.840	235.049
36.900	233.674
36.960	223.281
37.020	229.445
37.080	229.917
37.140	216.327
37.200	202.979
37.260	206.303
37.320	160.210
37.380	139.704
37.440	107.787
37.500	128.369
37.560	171.558
37.620	223.446
37.680	252.218
37.740	263.248
37.800	269.450
37.860	269.883
37.920	272.953
37.980	256.230
38.040	259.707
38.100	252.651
38.160	260.853
38.220	229.802
38.280	208.736
38.340	142.379
38.400	119.288
38.460	120.256
38.520	147.384
38.580	267.374
38.640	376.640
38.700	411.424
38.760	454.193
38.820	469.935
38.880	479.920
38.940	456.294
39.000	447.162
39.060	465.617
39.120	422.517
39.180	428.503
39.240	376.730
39.300	337.030
39.360	275.577
39.420	157.650
39.480	161.585
39.540	417.537
39.600	607.259
39.660	651.276
39.720	728.064
39.780	727.924
39.840	725.670
39.900	705.343
39.960	680.379
40.020	707.266
40.080	657.059
40.140	683.971
40.200	583.939
40.260	530.471
40.320	390.982
40.380	185.950
40.440	122.064
40.500	115.136
40.560	167.075
40.620	219.931
40.680	280.353
40.740	314.550
40.800	323.109
40.860	323.759
40.920	330.280
40.980	328.331
41.040	318.257
41.100	321.835
41.160	298.808
41.220	307.838
41.280	276.073
41.340	235.686
41.400	148.403
41.460	121.096
41.520	135.539
41.580	189.415
41.640	290.911
41.700	345.130
41.760	367.088
41.820	386.078
41.880	389.211
41.940	392.918
42.000	370.438
42.060	374.577
42.120	369.062
42.180	375.137
42.240	341.666
42.300	309.876
42.360	203.667
42.420	166.514
42.480	120.689
42.540	140.023
42.600	300.145
42.660	462.866
42.720	511.252
42.780	582.092
42.840	619.537
42.900	635.330
42.960	616.022
43.020	597.911
43.080	620.785
43.140	574.336
43.200	576.768
43.260	545.067
43.320	497.242
43.380	434.477
43.440	238.017
43.500	244.512
43.560	539.221
43.620	1632.862
43.680	1957.387
43.740	2342.116
43.800	2605.417
43.860	2605.379
43.920	2625.273
43.980	2555.949
44.040	2453.433
44.100	2599.953
44.160	2444.772
44.220	2534.590
44.280	2129.431
44.340	1852.629
44.400	816.570
44.460	150.174
44.520	111.047
44.580	148.021
44.640	188.065
44.700	245.684
44.760	280.811
44.820	292.975
44.880	311.353
44.940	311.786
45.000	305.902
45.060	296.490
45.120	307.469
45.180	289.918
45.240	293.268
45.300	271.858
45.360	245.544
45.420	163.369
45.480	131.884
45.540	105.252
45.600	106.500
45.660	114.512
45.720	124.382
45.780	126.764
45.840	133.578
45.900	131.744
45.960	132.368
46.020	132.852
46.080	131.222
46.140	133.183
46.200	130.929
46.260	130.114
46.320	128.866
46.380	126.013
46.440	118.409
46.500	109.748
46.560	104.029
46.620	105.660
46.680	115.187
46.740	117.594
46.800	122.268
46.860	122.599
46.920	123.822
46.980	124.446
47.040	124.026
47.100	122.841
47.160	124.484
47.220	126.344
47.280	124.548
47.340	120.026
47.400	120.638
47.460	111.569
47.520	108.602
47.580	112.639
47.640	155.332
47.700	184.893
47.760	222.695
47.820	245.213
47.880	251.097
47.940	263.681
48.000	256.115
48.060	259.720
48.120	255.963
48.180	257.491
48.240	252.205
48.300	240.411
48.360	228.566
48.420	189.542
48.480	133.247
48.540	118.027
48.600	104.501
48.660	109.570
48.720	119.733
48.780	138.418
48.840	146.620
48.900	151.995
48.960	156.440
49.020	153.651
49.080	156.809
49.140	154.428
49.200	156.746
49.260	152.836
49.320	150.810
49.380	149.651
49.440	146.684
49.500	136.278
49.560	114.804
49.620	107.838
49.680	111.837
49.740	162.350
49.800	199.145
49.860	247.314
49.920	272.533
0.000	4677.701
0.060	2362.558
0.120	2902.189
0.180	3683.354
0.240	3883.367
0.300	3809.572
0.360	3617.659
0.420	3583.462
0.480	3626.409
0.540	3605.967
0.600	3586.684
0.660	3702.382
0.720	3791.996
0.780	3798.504
0.840	3970.790
0.900	3256.581
0.960	2447.574
1.020	1825.755
1.080	1399.925
1.140	1393.187
1.200	1197.492
1.260	219.727
1.320	132.839
1.380	127.159
1.440	131.285
1.500	149.167
1.560	191.898
