0000000457,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/13/2016,"Time",8:36:44 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:54,     54724,   194.2925,  8.21886e-09,  1.95435e-09,  2.71497e-09,  5.49171e-09,  5.86950e-10,  2.34565e-09,  3.14130e-09,  1.52400e-09,
00:00:55,     55287,   196.1437,  6.88489e-09,  2.05217e-09,  2.82367e-09,  5.49171e-09,  5.86950e-10,  2.63912e-09,  3.35093e-09,  1.86308e-09,
00:00:55,     55850,   197.4660,  7.55186e-09,  1.85652e-09,  2.82367e-09,  5.30538e-09,  7.81525e-10,  2.83370e-09,  3.49068e-09,  1.86308e-09,
00:00:56,     56413,   199.1849,  6.66255e-09,  2.15000e-09,  2.71497e-09,  5.95652e-09,  9.77175e-10,  3.61630e-09,  3.76941e-09,  3.04986e-09,
00:00:56,     56976,   200.6394,  6.66255e-09,  2.54130e-09,  2.93236e-09,  5.95652e-09,  1.07500e-09,  4.69130e-09,  4.04891e-09,  3.72617e-09,
00:00:57,     57539,   202.0939,  7.10720e-09,  2.93152e-09,  3.25844e-09,  6.42235e-09,  1.36847e-09,  6.35217e-09,  4.60714e-09,  5.25017e-09,
00:00:58,     58102,   204.0773,  6.66255e-09,  3.81195e-09,  3.58333e-09,  6.98033e-09,  1.75977e-09,  8.69783e-09,  5.02639e-09,  7.62187e-09,
00:00:58,     58665,   205.9285,  7.10720e-09,  4.59347e-09,  3.58333e-09,  7.07350e-09,  2.63912e-09,  1.31934e-08,  6.35249e-09,  1.13480e-08,
00:00:59,     59228,   208.1763,  6.88489e-09,  6.15652e-09,  4.45169e-09,  7.91097e-09,  3.51847e-09,  1.88619e-08,  7.88814e-09,  1.64287e-08,
00:00:59,     59791,   210.4241,  6.66255e-09,  8.11195e-09,  5.10386e-09,  8.74948e-09,  4.20217e-09,  2.61913e-08,  1.07500e-08,  2.40504e-08,
00:01:00,     60354,   212.8042,  7.32955e-09,  1.02619e-08,  6.08091e-09,  9.95857e-09,  5.37500e-09,  3.27391e-08,  1.36118e-08,  2.94702e-08,
00:01:00,     60917,   215.8454,  7.32955e-09,  1.26065e-08,  6.73308e-09,  1.16346e-08,  5.96195e-09,  3.53771e-08,  1.58462e-08,  3.23506e-08,
00:01:01,     61480,   218.2255,  8.21886e-09,  1.24119e-08,  6.94928e-09,  1.27515e-08,  5.57065e-09,  3.29337e-08,  1.74511e-08,  2.84548e-08,
