0000000457,scans,0000000118,DataLength
"header",0000000026,"lines"
"Date",4/24/2016,"Time",6:01:48 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",7
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,10.000,8.000,0.098000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",32.00,32.00,0.01,10.000,8.000,0.860000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1000,"V"
"resolution",0,"%"
"Data",7
"Time","ms","Scan 1 : none 0.40","Hydrogen","Oxygen-16","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:00:42,     42889,   253.6621,  2.86830e-09,  2.98367e-09,  6.58139e-10,  1.70669e-09,  2.35000e-10,  4.53036e-10,
00:00:43,     43393,   255.7777,  2.66307e-09,  2.69847e-09,  6.30667e-10,  1.72614e-09,  2.18750e-10,  4.85286e-10,
00:00:43,     43897,   258.1578,  2.60198e-09,  3.02755e-09,  7.33389e-10,  1.69030e-09,  1.86250e-10,  4.79911e-10,
00:00:44,     44401,   260.4056,  2.65573e-09,  3.61990e-09,  6.59333e-10,  1.58383e-09,  1.81250e-10,  5.12929e-10,
00:00:44,     44905,   262.5213,  2.81698e-09,  2.63265e-09,  7.14278e-10,  1.59100e-09,  2.08750e-10,  5.25214e-10,
00:00:45,     45409,   264.2402,  2.84875e-09,  2.51199e-09,  6.80833e-10,  1.64629e-09,  2.18750e-10,  5.13696e-10,
00:00:45,     45896,   266.2236,  2.66307e-09,  2.70944e-09,  7.56083e-10,  1.65243e-09,  2.07500e-10,  5.20607e-10,
00:00:46,     46400,   268.2070,  2.55311e-09,  2.73138e-09,  7.05917e-10,  1.57257e-09,  2.18750e-10,  5.21375e-10,
00:00:46,     46904,   270.1904,  2.89027e-09,  3.04949e-09,  7.36972e-10,  1.65243e-09,  2.35000e-10,  5.11393e-10,
00:00:47,     47408,   272.0415,  2.98557e-09,  3.40051e-09,  6.73667e-10,  1.54697e-09,  2.46250e-10,  4.96036e-10,
