Mon, Oct 23, 2017	10:13 AM
 x = amu	 y = amps
1.800	1043.981
1.860	1043.981
1.920	1043.981
1.980	1043.981
2.040	1043.981
2.100	1043.981
2.160	1043.981
2.220	1043.981
2.280	1043.981
2.340	11.609
2.400	6.625
2.460	3.607
2.520	3.104
2.580	2.842
2.640	3.756
2.700	6.547
2.760	5.770
2.820	5.792
2.880	5.247
2.940	6.014
3.000	5.558
3.060	5.181
3.120	4.848
3.180	4.347
3.240	2.824
3.300	3.808
3.360	7.394
3.420	12.271
3.480	37.617
3.540	75.793
3.600	401.731
3.660	450.150
3.720	486.876
3.780	467.337
3.840	489.423
3.900	501.279
3.960	415.295
4.020	418.359
4.080	379.622
4.140	68.762
4.200	6.919
4.260	1.801
4.320	1.584
4.380	1.399
4.440	1.367
4.500	1.593
4.560	1.631
4.620	1.535
4.680	1.566
4.740	1.543
4.800	1.306
4.860	1.330
4.920	1.319
4.980	1.339
5.040	1.592
5.100	1.246
5.160	1.585
5.220	1.643
5.280	1.733
5.340	1.512
5.400	2.292
5.460	3.822
5.520	8.585
5.580	10.967
5.640	11.574
5.700	9.531
5.760	11.102
5.820	11.002
5.880	8.584
5.940	8.814
6.000	8.379
6.060	6.484
6.120	6.703
6.180	1.853
6.240	1.918
6.300	1.366
6.360	1.267
6.420	1.995
6.480	3.765
6.540	4.650
6.600	3.808
6.660	4.771
6.720	4.353
6.780	4.973
6.840	5.232
6.900	3.884
6.960	4.702
7.020	3.477
7.080	2.838
7.140	1.692
7.200	1.471
7.260	1.496
7.320	1.879
7.380	3.115
7.440	5.697
7.500	4.763
7.560	4.469
7.620	3.849
7.680	2.038
7.740	1.817
7.800	1.863
7.860	2.375
7.920	1.438
7.980	2.023
8.040	2.287
8.100	1.900
8.160	1.709
8.220	1.804
8.280	1.725
8.340	1.684
8.400	1.624
8.460	1.895
8.520	1.919
8.580	1.621
8.640	1.404
8.700	1.586
8.760	1.490
8.820	1.531
8.880	1.378
8.940	1.421
9.000	1.338
9.060	1.635
9.120	1.525
9.180	1.597
9.240	1.274
9.300	1.493
9.360	1.541
9.420	1.669
9.480	1.454
9.540	1.483
9.600	1.559
9.660	1.491
9.720	1.635
9.780	1.579
9.840	1.713
9.900	1.512
9.960	1.334
10.020	1.683
10.080	1.814
10.140	1.677
10.200	1.677
10.260	1.614
10.320	1.665
10.380	1.295
10.440	1.458
10.500	1.639
10.560	1.674
10.620	1.825
10.680	1.832
10.740	1.963
10.800	1.996
10.860	2.038
10.920	2.409
10.980	3.051
11.040	3.875
11.100	3.987
11.160	6.174
11.220	14.158
11.280	23.521
11.340	79.603
11.400	375.111
11.460	473.390
11.520	569.067
11.580	587.162
11.640	626.608
11.700	642.682
11.760	619.052
11.820	584.124
11.880	510.736
11.940	518.930
12.000	399.330
12.060	276.290
12.120	113.722
12.180	4.561
12.240	4.234
12.300	7.079
12.360	21.586
12.420	54.467
12.480	94.446
12.540	107.667
12.600	115.538
12.660	117.744
12.720	120.661
12.780	111.461
12.840	104.208
12.900	98.464
12.960	98.002
13.020	81.320
13.080	60.477
13.140	16.217
13.200	8.199
13.260	10.033
13.320	23.520
13.380	43.481
13.440	255.417
13.500	359.412
13.560	387.643
13.620	430.071
13.680	441.441
13.740	446.355
13.800	417.107
13.860	407.454
13.920	361.689
13.980	363.382
14.040	315.384
14.100	243.319
14.160	175.460
14.220	7.612
14.280	10.668
14.340	21.344
14.400	73.609
14.460	321.656
14.520	385.612
14.580	465.202
14.640	488.578
14.700	502.423
14.760	503.446
14.820	476.192
14.880	448.329
14.940	401.357
15.000	420.376
15.060	328.707
15.120	236.356
15.180	112.866
15.240	23.912
15.300	33.303
15.360	113.652
15.420	594.197
15.480	979.013
15.540	1043.981
15.600	1043.981
15.660	1043.981
15.720	1043.981
15.780	1043.981
15.840	1043.981
15.900	1043.981
15.960	1043.981
16.020	1043.178
16.080	1015.670
16.140	783.727
16.200	87.375
16.260	24.152
16.320	42.105
16.380	188.237
16.440	545.470
16.500	1043.981
16.560	1043.981
16.620	1043.981
16.680	1043.981
16.740	1043.981
16.800	1043.981
16.860	1043.981
16.920	1043.981
16.980	1043.981
17.040	1043.981
17.100	1043.981
17.160	671.126
17.220	35.430
17.280	44.695
17.340	130.724
17.400	270.127
17.460	1043.981
17.520	1043.981
17.580	1043.981
17.640	1043.981
17.700	1043.981
17.760	1043.981
17.820	1043.981
17.880	1043.981
17.940	1043.981
18.000	1043.981
18.060	1043.981
18.120	1043.981
18.180	1043.981
18.240	16.738
18.300	7.629
18.360	6.629
18.420	9.970
18.480	18.361
18.540	20.179
18.600	21.465
18.660	25.046
18.720	24.449
18.780	23.864
18.840	22.883
18.900	19.974
18.960	20.597
19.020	19.388
19.080	16.996
19.140	11.804
19.200	7.348
19.260	3.382
19.320	3.627
19.380	10.286
19.440	51.737
19.500	68.163
19.560	73.944
19.620	81.710
19.680	88.513
19.740	91.021
19.800	77.044
19.860	76.480
19.920	74.319
19.980	69.650
20.040	68.186
20.100	62.858
20.160	53.272
20.220	17.428
20.280	1.860
20.340	1.747
20.400	1.898
20.460	2.302
20.520	2.039
20.580	2.579
20.640	2.721
20.700	2.482
