Tue, Oct 10, 2017	2:59 PM
 x = amu	 y = amps

19.140	123.835
19.200	117.123
19.260	112.474
19.320	110.105
19.380	113.378
19.440	124.637
19.500	136.979
19.560	147.079
19.620	152.135
19.680	157.191
19.740	159.089
19.800	158.198
19.860	157.510
19.920	156.300
19.980	153.778
20.040	150.785
20.100	145.296
20.160	139.055
20.220	127.490
20.280	117.568
20.340	110.984
20.400	107.978
20.460	106.297
20.520	105.112
20.580	105.176
20.640	105.252
20.700	104.908
20.760	104.131
20.820	104.654
20.880	104.271
20.940	104.335
21.000	104.271
21.060	104.399
21.120	104.297
21.180	104.501
21.240	104.450
21.300	103.826
21.360	103.838
21.420	104.080
21.480	105.099
21.540	105.150
21.600	106.067
21.660	106.424
21.720	107.456
21.780	107.596
21.840	106.704
21.900	106.806
21.960	108.003
22.020	106.615
22.080	107.137
22.140	105.927
22.200	105.660
22.260	104.157
22.320	104.590
22.380	104.284
22.440	103.545
22.500	103.418
22.560	104.297
22.620	104.590
22.680	104.501
22.740	104.182
22.800	104.284
22.860	104.488
22.920	103.966
22.980	104.424
23.040	104.297
23.100	104.170
23.160	103.826
23.220	104.259
23.280	104.399
23.340	103.915
23.400	104.513
23.460	108.207
23.520	114.906
23.580	120.332
23.640	125.197
23.700	128.331
23.760	131.540
23.820	132.228
23.880	132.636
23.940	132.699
24.000	130.789
24.060	130.356
24.120	128.483
24.180	126.840
24.240	124.586
24.300	117.989
24.360	111.964
24.420	108.411
24.480	110.283
24.540	118.689
24.600	130.980
24.660	141.717
24.720	148.671
24.780	153.345
24.840	156.109
24.900	156.682
24.960	156.211
25.020	154.300
25.080	152.644
25.140	151.676
25.200	149.690
25.260	143.602
25.320	133.591
25.380	123.962
25.440	120.205
25.500	128.050
25.560	161.458
25.620	200.432
25.680	232.948
25.740	256.778
25.800	272.660
25.860	281.525
25.920	282.582
25.980	279.652
26.040	274.749
26.100	266.801
26.160	262.025
26.220	254.574
26.280	240.641
26.340	208.443
26.400	170.284
26.460	147.881
26.520	152.237
26.580	195.312
26.640	257.402
26.700	313.378
26.760	351.027
26.820	377.188
26.880	393.478
26.940	394.331
27.000	394.573
27.060	392.179
27.120	387.263
27.180	376.513
27.240	364.159
27.300	345.627
27.360	313.761
27.420	285.791
27.480	349.130
27.540	1242.401
27.600	2746.193
27.660	4279.012
27.720	5393.375
27.780	6169.598
27.840	6768.275
27.900	7138.969
27.960	7041.064
28.020	6918.361
28.080	6863.034
28.140	6659.862
28.200	6547.641
28.260	6205.069
28.320	5265.272
28.380	4114.342
28.440	2680.065
28.500	1542.586
28.560	923.735
28.620	681.806
28.680	613.997
28.740	600.292
28.800	614.825
28.860	634.694
28.920	648.245
28.980	639.113
29.040	628.809
29.100	608.355
29.160	590.167
29.220	573.546
29.280	551.079
29.340	503.827
29.400	404.393
29.460	287.320
29.520	213.448
29.580	201.298
29.640	238.590
29.700	291.497
29.760	336.775
29.820	368.451
29.880	395.236
29.940	402.075
30.000	396.713
30.060	394.892
30.120	390.026
30.180	386.129
30.240	368.667
30.300	352.186
30.360	310.908
30.420	237.431
30.480	177.863
30.540	150.326
30.600	153.027
30.660	164.859
30.720	177.965
30.780	187.835
30.840	194.000
30.900	199.311
30.960	200.877
31.020	200.890
31.080	197.706
31.140	195.846
31.200	192.115
31.260	187.784
31.320	178.296
31.380	161.076
31.440	143.118
31.500	138.329
31.560	171.685
31.620	219.167
31.680	262.152
31.740	294.223
31.800	314.206
31.860	330.305
31.920	333.311
31.980	331.375
32.040	327.809
32.100	319.428
32.160	313.264
32.220	303.011
32.280	285.091
32.340	248.257
32.400	203.399
32.460	162.528
32.520	136.278
32.580	122.166
32.640	114.906
32.700	111.964
32.760	109.519
32.820	108.704
32.880	107.264
32.940	107.952
33.000	107.456
33.060	106.831
33.120	107.073
33.180	106.908
33.240	106.691
33.300	106.449
33.360	105.825
33.420	105.138
33.480	104.017
33.540	104.310
33.600	105.048
33.660	106.297
33.720	106.424
33.780	106.615
33.840	106.895
33.900	107.417
33.960	107.698
34.020	106.437
34.080	106.615
34.140	106.105
34.200	107.124
