Wed, Oct 18, 2017	9:56 AM
 x = amu	 y = amps
72.960	104.233
73.020	101.610
73.080	100.527
73.140	98.158
73.200	98.158
73.260	101.711
73.320	111.990
73.380	114.843
73.440	125.236
73.500	130.763
73.560	137.730
73.620	143.169
73.680	143.245
73.740	142.799
73.800	142.939
73.860	138.367
73.920	137.017
73.980	124.701
74.040	112.130
74.100	105.698
74.160	99.266
74.220	98.999
74.280	111.875
74.340	135.387
74.400	177.735
74.460	188.536
74.520	214.633
74.580	239.889
74.640	244.767
74.700	256.230
74.760	243.137
74.820	249.887
74.880	232.961
74.940	228.834
75.000	171.151
75.060	142.162
75.120	129.388
75.180	98.591
75.240	98.718
75.300	99.814
75.360	116.155
75.420	134.750
75.480	142.010
75.540	150.492
75.600	157.306
75.660	162.426
75.720	165.304
75.780	163.712
75.840	168.399
75.900	164.311
75.960	154.224
76.020	125.032
76.080	118.753
76.140	106.233
76.200	97.585
76.260	98.922
76.320	101.571
76.380	116.129
76.440	127.108
76.500	140.978
76.560	149.881
76.620	162.388
76.680	169.864
76.740	169.113
76.800	169.342
76.860	178.958
76.920	166.591
76.980	164.821
77.040	148.467
77.100	121.860
77.160	110.971
77.220	105.736
77.280	106.539
77.340	156.656
77.400	254.791
77.460	463.032
77.520	642.437
77.580	689.499
77.640	846.386
77.700	903.904
77.760	953.360
77.820	929.530
77.880	915.252
77.940	894.466
78.000	848.322
78.060	599.503
78.120	385.148
78.180	320.575
78.240	142.723
78.300	100.068
78.360	105.762
78.420	138.138
78.480	191.567
78.540	213.537
78.600	247.149
78.660	262.802
78.720	295.853
78.780	310.959
78.840	311.417
78.900	302.158
78.960	282.620
79.020	302.272
79.080	191.593
79.140	174.946
79.200	144.964
79.260	101.890
79.320	102.170
79.380	117.479
79.440	178.729
79.500	212.315
79.560	271.743
79.620	294.669
79.680	339.959
79.740	375.125
79.800	380.296
79.860	370.591
79.920	368.591
79.980	363.242
80.040	283.142
80.100	193.669
80.160	177.162
80.220	127.656
80.280	106.016
80.340	104.195
80.400	130.114
80.460	177.570
80.520	260.586
