0000000723,scans,0000000104,DataLength
"header",0000000025,"lines"
"Date",6/9/2016,"Time",2:04:36 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",32.00,32.00,0.01,11.000,10.000,0.860000,1.000000,
"Scan 6","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",6
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:01:03,     63073,   120.2459,  5.77568e-09,  2.28019e-09,  4.18840e-09,  2.50000e-09,  2.09394e-09,
00:01:03,     63488,   120.3781,  6.44266e-09,  2.49758e-09,  4.28157e-09,  2.38624e-09,  2.09394e-09,
00:01:03,     63903,   119.9814,  6.22034e-09,  2.38889e-09,  4.65424e-09,  2.38624e-09,  2.02407e-09,
00:01:04,     64318,   119.9814,  6.22034e-09,  2.38889e-09,  4.28157e-09,  2.15874e-09,  2.09394e-09,
00:01:04,     64733,   120.2459,  5.99800e-09,  2.71497e-09,  4.56107e-09,  2.15874e-09,  2.23369e-09,
00:01:05,     65148,   120.3781,  5.55334e-09,  2.28019e-09,  4.37473e-09,  2.27250e-09,  2.09394e-09,
00:01:05,     65563,   120.3781,  6.66255e-09,  2.28019e-09,  4.37473e-09,  2.27250e-09,  2.02407e-09,
00:01:05,     65978,   120.2459,  5.99800e-09,  2.28019e-09,  4.65424e-09,  2.15874e-09,  2.02484e-09,
00:01:06,     66393,   120.3781,  5.99800e-09,  2.71497e-09,  4.46790e-09,  2.15874e-09,  1.88509e-09,
00:01:06,     66808,   120.2459,  5.99800e-09,  2.49758e-09,  4.37473e-09,  2.15874e-09,  2.02407e-09,
00:01:07,     67223,   120.1137,  5.99800e-09,  2.49758e-09,  4.37473e-09,  2.27250e-09,  2.09394e-09,
00:01:07,     67638,   120.2459,  6.22034e-09,  2.17150e-09,  4.37473e-09,  2.15874e-09,  2.02407e-09,
00:01:08,     68053,   120.3781,  5.55334e-09,  2.28019e-09,  4.28157e-09,  2.15874e-09,  2.09394e-09,
