Tue, Oct 24, 2017	12:57 PM
 x = amu	 y = amps
27.300	1042.018
27.360	666.051
27.420	516.283
27.480	339.717
27.540	1131.224
27.600	3488.945
27.660	8997.038
27.720	10689.789
27.780	11657.759
27.840	12037.165
27.900	12874.676
27.960	11905.865
28.020	10995.553
28.080	11658.702
28.140	10034.346
28.200	10151.419
28.260	9297.644
28.320	7898.125
28.380	5541.143
28.440	461.924
28.500	143.041
28.560	166.120
28.620	439.189
28.680	751.143
28.740	1112.947
28.800	1223.334
28.860	1290.595
28.920	1379.572
28.980	1279.451
29.040	1233.014
29.100	1253.609
29.160	1173.318
29.220	1209.884
29.280	949.157
29.340	1011.629
29.400	549.296
29.460	137.514
29.520	130.317
29.580	223.574
29.640	386.842
29.700	950.608
29.760	1179.037
29.820	1186.449
29.880	1310.082
29.940	1266.218
30.000	1184.029
30.060	1220.761
30.120	1083.437
30.180	1092.505
30.240	1017.831
30.300	915.137
30.360	772.298
30.420	288.453
30.480	116.002
30.540	118.154
30.600	197.464
30.660	296.108
30.720	415.792
30.780	431.394
30.840	442.208
30.900	477.271
30.960	471.985
31.020	435.317
31.080	449.799
31.140	424.720
31.200	429.828
31.260	407.730
31.320	369.062
31.380	243.557
31.440	168.501
31.500	115.900
31.560	164.337
31.620	224.147
31.680	349.410
31.740	376.105
31.800	388.269
31.860	424.555
31.920	425.790
31.980	398.611
32.040	395.809
32.100	384.855
32.160	376.246
32.220	380.512
32.280	334.979
32.340	251.760
32.400	196.038
32.460	107.672
32.520	106.284
32.580	106.551
32.640	111.811
32.700	115.327
32.760	115.187
32.820	117.428
32.880	118.282
32.940	118.180
33.000	118.040
33.060	116.460
33.120	116.473
33.180	115.581
33.240	114.728
33.300	113.518
33.360	114.066
33.420	109.035
33.480	105.430
33.540	105.876
33.600	109.111
33.660	112.919
33.720	116.231
33.780	117.505
33.840	115.416
33.900	117.377
33.960	116.091
34.020	115.760
34.080	115.709
34.140	115.034
34.200	114.983
34.260	113.722
34.320	112.601
34.380	108.615
34.440	106.118
34.500	105.851
34.560	105.558
34.620	106.513
34.680	106.488
34.740	106.984
34.800	106.959
34.860	107.379
34.920	107.035
34.980	108.118
35.040	107.150
35.100	107.761
35.160	108.054
35.220	106.781
35.280	106.577
35.340	106.679
35.400	106.539
35.460	105.609
35.520	106.309
35.580	109.952
35.640	118.613
35.700	132.801
35.760	141.691
35.820	140.150
35.880	143.716
35.940	146.620
36.000	137.705
36.060	139.118
36.120	137.093
36.180	137.463
36.240	135.361
36.300	133.553
36.360	129.057
36.420	119.441
36.480	105.290
36.540	108.232
36.600	112.652
36.660	146.047
36.720	164.069
36.780	170.093
36.840	171.494
36.900	179.595
36.960	181.009
37.020	170.692
37.080	171.112
37.140	168.883
37.200	170.641
37.260	168.896
37.320	161.012
37.380	148.187
37.440	123.503
37.500	106.704
37.560	107.799
37.620	123.745
37.680	164.069
37.740	180.295
37.800	192.624
37.860	193.962
37.920	203.183
37.980	203.030
38.040	194.547
38.100	199.935
38.160	189.466
38.220	190.484
38.280	175.787
38.340	169.087
38.400	145.665
38.460	114.346
38.520	108.984
38.580	114.002
38.640	160.516
38.700	213.512
38.760	283.206
38.820	309.035
38.880	313.238
38.940	338.074
39.000	337.450
39.060	311.965
39.120	324.485
39.180	308.513
39.240	316.270
39.300	271.374
39.360	285.307
39.420	202.406
39.480	169.266
39.540	132.470
39.600	297.865
39.660	444.640
39.720	669.273
39.780	759.651
39.840	770.209
39.900	841.699
39.960	805.719
40.020	745.615
40.080	780.399
40.140	725.785
40.200	739.489
40.260	637.597
40.320	655.518
40.380	448.856
40.440	321.453
40.500	122.879
40.560	111.276
40.620	117.301
40.680	181.403
40.740	284.887
40.800	304.387
40.860	333.438
40.920	365.738
40.980	367.878
41.040	367.012
41.100	355.294
41.160	351.269
41.220	332.063
41.280	347.945
41.340	304.030
41.400	261.057
41.460	199.451
41.520	121.338
41.580	111.111
41.640	130.292
41.700	243.150
41.760	291.383
41.820	346.633
41.880	381.455
41.940	387.135
42.000	401.222
42.060	383.875
42.120	378.551
42.180	357.217
42.240	356.389
42.300	345.844
42.360	324.077
42.420	297.394
42.480	174.449
42.540	132.814
42.600	116.244
42.660	168.832
42.720	274.278
42.780	416.340
42.840	497.789
42.900	515.187
42.960	540.533
43.020	574.960
43.080	533.019
43.140	525.924
43.200	543.042
43.260	505.062
43.320	479.143
43.380	470.062
43.440	387.288
43.500	200.177
43.560	150.568
43.620	250.218
43.680	543.195
43.740	1523.876
43.800	2035.041
43.860	2195.202
43.920	2420.178
43.980	2552.319
44.040	2539.812
44.100	2341.874
44.160	1991.074
44.220	2245.269
44.280	2286.853
44.340	1921.228
44.400	1738.511
44.460	908.094
44.520	541.425
44.580	110.181
44.640	108.869
44.700	124.892
44.760	183.620
44.820	201.527
44.880	239.927
44.940	248.996
45.000	257.873
45.060	258.816
45.120	258.752
45.180	251.645
45.240	250.422
45.300	243.990
45.360	238.603
45.420	221.561
45.480	191.261
45.540	142.417
45.600	118.320
45.660	105.851
45.720	110.576
45.780	115.314
45.840	127.350
45.900	133.871
45.960	133.591
46.020	139.106
46.080	137.934
46.140	137.590
46.200	136.380
46.260	135.183
46.320	137.106
46.380	131.489
46.440	132.075
46.500	124.790
46.560	111.671
46.620	107.545
46.680	106.551
46.740	108.984
46.800	118.727
46.860	123.873
46.920	127.974
46.980	128.980
47.040	130.993
47.100	130.636
47.160	130.649
47.220	130.088
47.280	128.853
47.340	129.006
47.400	125.974
47.460	124.739
47.520	114.881
47.580	110.576
47.640	108.207
47.700	110.780
47.760	136.533
47.820	186.078
47.880	197.490
47.940	214.454
48.000	222.529
48.060	238.501
48.120	234.005
48.180	229.343
48.240	229.827
48.300	217.562
48.360	235.304
48.420	210.939
48.480	194.344
48.540	158.924
48.600	126.700
48.660	106.055
48.720	106.309
48.780	107.608
48.840	112.423
48.900	121.962
48.960	126.471
49.020	129.209
49.080	131.005
49.140	131.438
49.200	131.260
49.260	128.624
49.320	132.394
49.380	127.592
49.440	127.936
49.500	125.720
49.560	121.262
49.620	109.926
49.680	108.271
49.740	107.239
49.800	109.684
49.860	129.579
49.920	158.631
0.000	2963.362
0.060	2005.492
0.120	2848.518
0.180	3226.561
0.240	3167.884
0.300	3047.996
0.360	3141.061
0.420	3093.783
0.480	3069.062
0.540	3213.926
0.600	3108.634
0.660	3184.008
0.720	3224.651
0.780	3135.177
0.840	3242.864
0.900	3252.238
0.960	3399.828
1.020	3427.351
1.080	2218.802
1.140	1732.423
1.200	1093.104
1.260	838.158
1.320	363.980
1.380	143.971
1.440	144.621
1.500	160.796
1.560	194.089
1.620	224.045
1.680	397.070
1.740	1524.449
