Wed, Oct 04, 2017	10:33 AM
 x = amu	 y = amps
64.920	124.370
64.980	110.016
65.040	102.043
65.100	100.858
65.160	100.056
65.220	102.437
65.280	105.927
65.340	109.315
65.400	112.881
65.460	113.021
65.520	115.110
65.580	116.447
65.640	115.683
65.700	115.976
65.760	116.651
65.820	114.562
65.880	111.276
65.940	107.226
66.000	104.513
66.060	101.113
66.120	101.711
66.180	104.730
66.240	110.703
66.300	120.447
66.360	130.445
66.420	138.354
66.480	146.072
66.540	150.938
66.600	151.307
66.660	150.619
66.720	153.434
66.780	153.880
66.840	148.365
66.900	140.889
66.960	124.128
67.020	110.640
67.080	106.322
67.140	105.545
67.200	127.057
67.260	169.304
67.320	233.062
67.380	296.222
67.440	352.454
67.500	398.165
67.560	427.803
67.620	433.114
67.680	436.591
67.740	437.533
67.800	428.924
67.860	414.964
67.920	336.164
67.980	238.361
68.040	186.434
68.100	130.139
68.160	106.284
68.220	105.991
68.280	119.886
68.340	133.591
68.400	146.569
68.460	158.401
68.520	164.846
68.580	171.927
68.640	172.437
68.700	175.290
68.760	175.825
68.820	178.181
68.880	174.500
68.940	152.250
69.000	130.407
69.060	114.677
69.120	104.322
69.180	101.711
69.240	105.634
69.300	112.410
69.360	121.937
69.420	131.617
69.480	138.443
69.540	143.016
69.600	145.130
69.660	146.926
69.720	146.162
69.780	145.716
69.840	145.181
69.900	134.049
69.960	123.745
70.020	111.022
70.080	105.023
70.140	101.584
70.200	100.310
70.260	100.985
70.320	102.399
70.380	104.170
70.440	106.131
70.500	108.997
70.560	111.022
70.620	110.767
70.680	111.060
70.740	109.442
70.800	110.742
70.860	110.054
70.920	110.487
70.980	107.710
71.040	104.182
71.100	102.590
71.160	100.820
71.220	100.056
71.280	99.916
71.340	101.775
71.400	102.692
71.460	103.596
71.520	104.106
71.580	105.711
71.640	107.226
71.700	106.730
71.760	106.602
71.820	107.112
71.880	107.863
71.940	106.386
72.000	103.813
72.060	102.374
72.120	101.890
72.180	100.807
72.240	100.005
72.300	100.820
72.360	101.890
72.420	100.934
72.480	101.597
72.540	102.335
72.600	102.972
72.660	102.730
72.720	103.036
72.780	104.119
72.840	102.756
72.900	102.858
72.960	102.730
73.020	101.711
73.080	101.495
73.140	100.578
73.200	99.483
73.260	100.068
73.320	99.852
73.380	100.501
73.440	100.642
73.500	100.782
73.560	100.438
73.620	101.253
73.680	101.329
73.740	101.011
73.800	100.794
73.860	101.610
73.920	100.705
73.980	100.705
74.040	100.387
74.100	99.992
74.160	100.323
74.220	100.196
74.280	99.941
74.340	101.227
74.400	100.960
74.460	101.151
74.520	100.909
74.580	100.680
74.640	101.380
74.700	100.756
74.760	101.839
74.820	101.788
74.880	101.622
74.940	102.234
75.000	101.202
75.060	100.565
75.120	99.979
75.180	100.183
75.240	100.081
75.300	100.209
75.360	99.572
75.420	100.731
75.480	101.864
75.540	102.119
75.600	101.966
75.660	102.004
75.720	101.966
75.780	101.979
75.840	101.813
75.900	101.469
75.960	100.820
76.020	99.865
76.080	100.680
76.140	99.584
76.200	100.463
76.260	100.298
76.320	100.272
76.380	100.718
76.440	100.629
76.500	100.158
76.560	100.412
76.620	101.240
76.680	101.036
76.740	101.215
76.800	101.176
76.860	100.807
76.920	102.055
76.980	100.794
77.040	101.584
77.100	100.794
77.160	100.934
77.220	99.623
77.280	99.215
77.340	100.527
77.400	101.100
77.460	102.285
77.520	104.501
77.580	105.023
77.640	105.723
77.700	105.571
77.760	106.118
77.820	106.284
77.880	106.768
77.940	106.768
78.000	105.774
78.060	104.424
78.120	101.801
78.180	101.737
78.240	100.094
78.300	99.712
78.360	100.425
78.420	101.368
78.480	103.303
78.540	103.877
78.600	103.393
78.660	104.170
78.720	104.768
78.780	105.036
78.840	104.501
78.900	105.303
78.960	104.908
79.020	104.246
79.080	102.374
79.140	101.673
79.200	101.317
79.260	100.310
79.320	98.986
79.380	100.336
79.440	100.603
79.500	101.508
79.560	102.998
79.620	103.609
79.680	104.908
79.740	105.150
79.800	105.150
79.860	107.328
79.920	106.016
79.980	105.392
80.040	104.322
80.100	102.921
80.160	101.546
80.220	100.298
80.280	100.629
80.340	99.737
80.400	99.763
80.460	99.852
80.520	100.922
80.580	101.444
80.640	101.215
80.700	101.686
80.760	101.520
80.820	101.584
80.880	100.782
80.940	102.616
81.000	100.909
81.060	101.966
81.120	100.769
81.180	100.985
81.240	100.756
81.300	99.597
81.360	99.801
81.420	101.036
81.480	101.368
81.540	101.890
81.600	101.431
81.660	102.476
81.720	102.972
81.780	102.947
81.840	103.686
81.900	103.736
81.960	104.883
82.020	103.635
82.080	102.361
82.140	101.431
82.200	101.495
82.260	100.438
82.320	99.916
82.380	99.725
82.440	100.272
82.500	101.584
82.560	101.380
82.620	101.979
82.680	102.386
82.740	103.418
82.800	102.246
82.860	103.214
82.920	103.342
82.980	102.998
83.040	102.527
83.100	102.348
83.160	101.329
83.220	101.597
83.280	100.718
83.340	100.298
83.400	100.349
83.460	100.667
83.520	100.501
83.580	100.705
83.640	101.673
83.700	101.711
83.760	101.902
83.820	101.852
83.880	101.775
83.940	103.520
84.000	102.909
84.060	102.794
84.120	102.463
84.180	100.756
