Mon, Oct 09, 2017	2:30 PM
 x = amu	 y = amps

78.420	124.344
78.480	133.693
78.540	142.595
78.600	149.970
78.660	152.211
78.720	156.414
78.780	156.083
78.840	156.542
78.900	158.783
78.960	152.861
79.020	151.524
79.080	136.202
79.140	123.274
79.200	117.670
79.260	110.347
79.320	112.385
79.380	127.363
79.440	145.499
79.500	156.198
79.560	168.221
79.620	178.754
79.680	186.804
79.740	188.918
79.800	192.051
79.860	195.082
79.920	190.204
79.980	187.109
80.040	170.093
80.100	148.798
80.160	132.139
80.220	119.937
80.280	111.378
80.340	117.033
80.400	131.948
80.460	144.697
80.520	158.962
80.580	175.659
80.640	184.078
80.700	189.682
80.760	193.032
80.820	197.120
80.880	196.904
80.940	200.967
81.000	197.158
81.060	176.576
81.120	158.783
81.180	144.226
81.240	139.602
81.300	191.198
81.360	500.006
81.420	836.821
81.480	1236.478
81.540	1639.383
81.600	1860.131
81.660	2106.581
81.720	2275.314
81.780	2351.962
81.840	2419.567
81.900	2418.866
81.960	2519.230
82.020	2372.034
82.080	2009.262
82.140	1271.185
82.200	866.280
82.260	528.000
82.320	241.048
82.380	142.977
82.440	147.652
82.500	173.150
82.560	190.090
82.620	213.359
82.680	230.795
82.740	239.469
82.800	245.621
82.860	246.754
82.920	247.251
82.980	240.997
83.040	242.602
83.100	201.935
83.160	160.783
83.220	144.570
83.280	122.561
83.340	109.366
83.400	105.392
83.460	106.602
83.520	110.130
83.580	113.505
83.640	116.702
83.700	117.899
83.760	119.441
83.820	120.587
83.880	118.689
83.940	120.943
84.000	118.842
84.060	119.199
84.120	114.868
84.180	110.461
84.240	107.761
84.300	105.787
84.360	103.953
84.420	104.348
84.480	106.806
84.540	107.838
84.600	110.665
84.660	112.270
84.720	113.493
84.780	113.786
84.840	114.754
84.900	115.314
84.960	115.709
85.020	114.957
85.080	115.123
85.140	111.595
85.200	108.105
85.260	105.354
85.320	104.042
85.380	103.851
85.440	104.119
85.500	104.603
85.560	107.214
85.620	108.958
85.680	108.666
85.740	110.589
85.800	110.652
85.860	111.773
85.920	113.200
85.980	111.098
86.040	110.780
86.100	109.825
86.160	108.589
86.220	106.284
86.280	103.940
86.340	103.673
86.400	102.603
86.460	103.342
86.520	104.093
86.580	104.080
86.640	105.825
86.700	105.813
86.760	106.691
86.820	106.475
86.880	105.991
86.940	106.105
87.000	107.124
87.060	107.379
87.120	105.940
87.180	104.819
87.240	105.010
87.300	102.998
87.360	103.176
87.420	102.679
87.480	102.603
87.540	102.043
87.600	103.112
87.660	103.558
87.720	104.208
87.780	104.195
87.840	104.182
87.900	104.641
87.960	104.590
88.020	104.182
88.080	104.259
88.140	103.405
88.200	102.972
88.260	103.380
88.320	102.144
88.380	101.992
88.440	103.138
88.500	102.590
88.560	103.036
88.620	103.495
88.680	103.571
88.740	104.412
88.800	103.711
88.860	104.004
88.920	104.220
88.980	103.087
89.040	103.456
89.100	103.418
89.160	103.189
89.220	103.176
89.280	102.514
89.340	102.386
89.400	103.800
89.460	104.450
89.520	104.870
89.580	105.316
89.640	106.870
89.700	107.010
89.760	107.901
89.820	108.411
89.880	108.857
89.940	110.079
90.000	109.481
90.060	108.220
90.120	108.844
90.180	106.246
90.240	104.182
90.300	102.616
90.360	102.616
90.420	102.004
90.480	103.163
90.540	104.883
90.600	105.621
90.660	106.526
90.720	107.774
