Thu, Oct 12, 2017	3:43 PM
 x = amu	 y = amps

35.220	104.692
35.280	106.653
35.340	104.590
35.400	105.278
35.460	106.067
35.520	106.488
35.580	119.122
35.640	122.434
35.700	131.234
35.760	133.412
35.820	132.636
35.880	131.222
35.940	133.884
36.000	127.681
36.060	132.674
36.120	128.674
36.180	127.872
36.240	125.834
36.300	126.369
36.360	116.142
36.420	110.525
36.480	105.392
36.540	113.416
36.600	125.210
36.660	141.526
36.720	152.288
36.780	154.147
36.840	155.077
36.900	157.943
36.960	153.472
37.020	152.288
37.080	151.817
37.140	145.843
37.200	147.537
37.260	139.883
37.320	136.036
37.380	128.509
37.440	108.767
37.500	107.035
37.560	112.958
37.620	144.213
37.680	167.164
37.740	173.048
37.800	173.965
37.860	173.812
37.920	176.665
37.980	174.971
38.040	168.832
38.100	171.100
38.160	163.025
38.220	169.826
38.280	160.821
38.340	136.431
38.400	124.815
38.460	106.997
38.520	109.621
38.580	130.521
38.640	186.638
38.700	215.919
38.760	245.964
38.820	252.243
38.880	257.580
38.940	258.268
39.000	252.345
39.060	247.404
39.120	244.882
39.180	236.463
39.240	237.074
39.300	223.294
39.360	202.355
39.420	152.059
39.480	135.730
39.540	204.138
39.600	441.685
39.660	521.301
39.720	638.362
39.780	674.622
39.840	664.612
39.900	684.429
39.960	656.524
40.020	636.069
40.080	627.472
40.140	581.353
40.200	594.905
40.260	573.839
40.320	476.469
40.380	305.877
40.440	193.681
40.500	106.666
40.560	117.110
40.620	138.571
40.680	210.417
40.740	255.937
40.800	265.973
40.860	275.284
40.920	287.422
40.980	280.544
41.040	265.375
41.100	272.202
41.160	266.483
41.220	269.718
41.280	248.626
41.340	228.949
41.400	165.776
41.460	139.984
41.520	109.213
41.580	115.938
41.640	161.140
41.700	224.300
41.760	248.996
41.820	264.445
41.880	270.125
41.940	286.352
42.000	270.495
42.060	262.738
42.120	273.233
42.180	258.446
42.240	268.444
42.300	236.871
42.360	216.123
42.420	186.689
42.480	122.102
42.540	110.703
42.600	127.859
42.660	206.889
42.720	252.715
42.780	316.028
42.840	327.796
42.900	337.438
42.960	362.121
43.020	344.175
43.080	334.152
43.140	339.093
43.200	317.008
43.260	330.203
43.320	280.467
43.380	291.383
43.440	208.889
43.500	150.250
43.560	181.824
43.620	602.738
43.680	1027.830
43.740	1559.436
43.800	1713.662
43.860	1841.396
43.920	1890.469
43.980	1903.308
44.040	1826.430
44.100	1771.333
44.160	1878.459
44.220	1678.356
44.280	1471.211
44.340	1623.793
44.400	1013.463
44.460	448.499
44.520	181.072
44.580	109.086
44.640	112.818
44.700	142.213
44.760	169.851
44.820	183.862
44.880	191.172
44.940	191.516
45.000	203.743
45.060	190.293
45.120	192.573
45.180	190.344
45.240	183.836
45.300	190.994
45.360	178.678
45.420	155.472
45.480	143.436
45.540	114.779
45.600	105.239
45.660	106.602
45.720	112.015
45.780	116.027
45.840	119.784
45.900	123.032
45.960	122.255
46.020	121.950
46.080	122.052
